date,lat,lon,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1870-05-30,45.7,-62.68,2,25.0,6.95,16.0,0.0,7.97
1870-05-31,45.7,-62.68,2,22.25,7.5,14.9,0.0,6.88
1870-06-01,46.15,-60.2,1,26.7,10.0,18.4,0.3,10.35
1870-06-02,46.15,-60.2,1,14.4,3.3,8.9,0.0,0.85
1870-06-03,46.15,-60.2,1,15.6,0.6,8.1,0.0,0.1
1870-06-04,46.15,-60.2,1,26.1,0.0,13.1,0.0,5.05
1870-06-05,46.15,-60.2,1,27.8,9.4,18.6,0.0,10.6
1870-06-06,46.15,-60.2,1,15.0,7.2,11.1,0.0,3.1
1870-06-07,46.15,-60.2,1,20.6,6.1,13.4,0.0,5.35
1870-06-08,46.15,-60.2,1,15.6,7.8,11.7,0.0,3.7
1870-06-09,46.15,-60.2,1,18.3,2.8,10.6,0.0,2.55
1870-06-10,46.15,-60.2,1,20.0,3.3,11.7,0.0,3.65
1870-06-11,46.15,-60.2,1,25.0,5.0,15.0,0.0,7.0
1870-06-12,46.15,-60.2,1,16.7,8.3,12.5,5.3,4.5
1870-06-13,46.15,-60.2,1,15.6,7.8,11.7,0.0,3.7
1870-06-14,46.15,-60.2,1,24.4,9.4,16.9,0.3,8.9
1870-06-15,46.15,-60.2,1,26.7,16.7,21.7,0.0,13.7
1870-06-16,46.15,-60.2,1,24.4,10.6,17.5,10.9,9.5
1870-06-17,46.15,-60.2,1,19.4,8.9,14.2,1.3,6.15
1870-06-18,46.15,-60.2,1,13.9,8.9,11.4,2.3,3.4
1870-06-19,46.15,-60.2,1,11.1,5.6,8.4,0.0,0.35
1870-06-20,46.15,-60.2,1,16.7,7.8,12.3,51.3,4.25
1870-06-21,46.15,-60.2,1,16.1,12.2,14.2,14.5,6.15
1870-06-22,46.15,-60.2,1,13.9,10.6,12.3,0.3,4.25
1870-06-23,46.15,-60.2,1,16.7,10.0,13.4,0.0,5.35
1870-06-24,46.15,-60.2,1,16.1,8.9,12.5,0.0,4.5
1870-06-25,46.15,-60.2,1,15.6,10.0,12.8,0.0,4.8
1870-06-26,46.15,-60.2,1,13.9,10.0,12.0,5.6,3.95
1870-06-27,46.15,-60.2,1,20.0,8.3,14.2,0.0,6.15
1870-06-28,46.15,-60.2,1,19.4,10.0,14.7,9.1,6.7
1870-06-29,46.15,-60.2,1,20.6,4.4,12.5,0.0,4.5
1870-06-30,46.15,-60.2,1,17.8,6.7,12.3,1.0,4.25
1870-07-01,46.15,-60.2,1,17.2,7.8,12.5,0.0,4.5
1870-07-02,46.15,-60.2,1,21.1,3.9,12.5,0.0,4.5
1870-07-03,46.15,-60.2,1,20.6,2.2,11.4,0.0,3.4
1870-07-04,46.15,-60.2,1,21.7,4.4,13.1,0.0,5.05
1870-07-05,46.15,-60.2,1,20.0,5.0,12.5,0.0,4.5
1870-07-06,46.15,-60.2,1,25.6,11.7,18.7,0.8,10.65
1870-07-07,46.15,-60.2,1,27.8,16.1,22.0,0.0,13.95
1870-07-08,46.15,-60.2,1,28.3,15.6,22.0,1.5,13.95
1870-07-09,46.15,-60.2,1,26.1,16.7,21.4,13.7,13.4
1870-07-10,46.15,-60.2,1,26.1,13.3,19.7,0.0,11.7
1870-07-11,46.15,-60.2,1,25.6,15.6,20.6,0.0,12.6
