year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
1910,365,10.5,1.04,5.78,976.13,23.42,-12.67,36.09,128.79,51.09,25.55,10.02,16.02,16.02,-4.29,295.31,201.79,201.79,247.62,0.2652,908.6928,149.0,293.23
1911,365,10.75,-0.16,5.31,812.87,26.12,-16.39,42.51,105.83,16.8,27.9,16.82,10.35,16.82,-7.71,271.46,138.78,271.46,201.38,0.4374,1051.7612,141.0,395.95
1912,366,9.82,-0.72,4.56,1156.66,23.52,-17.38,40.9,136.94,61.02,26.36,15.37,-7.6,15.37,-7.6,332.53,228.64,332.53,228.64,0.2532,1000.7605,149.0,294.1
1913,365,10.69,0.34,5.52,1017.61,23.1,-16.7,39.8,169.09,37.99,27.36,-5.96,8.83,15.61,-5.96,295.77,200.53,244.67,295.77,0.4492,946.4561,157.0,240.54
1914,365,9.73,-1.17,4.28,822.24,23.75,-19.56,43.31,107.63,33.79,26.85,8.5,16.33,16.33,-8.36,232.84,183.68,183.68,196.99,0.293,1092.5453,148.0,281.98
1915,365,10.53,0.38,5.46,1052.24,23.63,-12.04,35.67,135.85,31.11,28.88,16.16,-5.6,16.16,-5.6,307.55,219.47,307.55,219.47,0.3023,911.5403,159.0,246.98
1916,366,9.8,-0.35,4.73,948.36,24.43,-15.21,39.64,131.13,46.62,27.04,0.42,-8.37,17.07,-8.37,272.63,200.85,244.97,200.85,0.3723,1074.0449,157.0,277.46999999999997
1917,365,8.69,-1.48,3.61,1106.72,24.5,-17.5,42.0,180.43,28.55,26.33,7.95,16.75,16.75,-8.5,331.7,223.35,223.35,234.9,0.412,1135.6134,167.0,225.19
1918,365,9.51,-1.57,3.97,1042.27,23.12,-18.99,42.11,179.16,39.18,25.98,15.8,-10.26,15.8,-10.26,385.33,199.31,385.33,199.31,0.5157,1101.9078,143.0,281.72
1919,365,9.88,-1.12,4.39,959.02,24.23,-17.05,41.28,100.78,51.65,25.36,15.57,-2.01,15.57,-5.91,254.85,227.3,254.85,236.43,0.2401,1024.3188,155.0,311.75
1920,366,10.22,-1.8,4.22,1129.79,25.53,-22.91,48.44,142.85,31.03,27.13,16.87,9.12,16.87,-9.68,328.24,236.32,328.24,289.18,0.3543,1159.9685,152.0,302.77
1921,365,11.05,-1.32,4.87,799.21,27.74,-18.34,46.08,108.69,35.39,26.69,16.94,10.32,16.94,-6.99,230.81,145.76,230.81,209.0,0.3611,1093.2006,147.0,340.84000000000003
1922,365,9.9,-1.68,4.12,913.5,24.48,-19.34,43.82,167.23,25.28,29.8,10.64,-8.84,16.03,-8.84,269.16,178.83,244.67,178.83,0.5586,1157.0554,151.0,370.21
1923,365,9.37,-2.83,3.28,873.8,23.09,-22.53,45.62,124.77,23.57,28.41,2.37,14.91,14.91,-12.45,276.94,174.71,174.71,243.89,0.4276,1129.4736,161.0,241.93
1924,366,9.88,-1.91,3.99,835.36,25.42,-19.09,44.51,121.8,35.01,29.79,16.03,-0.16,16.03,-8.47,261.41,174.79,261.41,186.37,0.3734,1104.1201,162.0,252.3
1925,365,9.5,-1.63,3.95,1099.68,23.89,-22.03,45.92,189.19,50.14,28.75,-1.4,9.0,15.65,-7.67,363.78,187.52,308.76,239.62,0.4173,1064.1766,158.0,267.05
1926,365,8.89,-2.27,3.32,1084.82,24.15,-16.51,40.66,197.85,63.83,26.73,-0.19,7.49,15.35,-9.6,352.01,223.34,225.79,283.67,0.4015,1077.9488,163.0,227.46
1927,365,10.6,-0.54,5.04,1191.99,24.71,-16.48,41.19,147.15,51.49,24.01,2.37,-6.92,16.19,-6.92,383.63,223.67,340.95,223.67,0.3134,979.7921,163.0,217.28
1928,366,10.07,-1.08,4.5,974.35,24.77,-16.39,41.16,102.49,42.17,28.09,9.38,-8.07,16.03,-8.07,269.59,200.83,266.23,200.83,0.2094,1032.6597,152.0,291.01
1929,365,9.97,-1.52,4.23,937.61,24.53,-16.28,40.81,105.49,57.98,28.69,9.01,16.07,16.07,-7.52,261.91,205.69,205.69,216.15,0.2097,1058.5253,160.0,287.2
1930,365,10.9,-0.86,5.03,927.63,24.97,-17.43,42.4,122.64,45.61,30.92,16.36,0.96,16.36,-7.9,300.7,165.06,300.7,268.82,0.3244,1098.6414,156.0,396.56
1931,365,11.11,0.48,5.81,1010.03,25.34,-17.1,42.44,123.76,34.65,28.37,16.79,-6.31,16.79,-6.31,314.97,225.41,314.97,225.41,0.2886,1019.1261,149.0,324.77
1932,366,10.65,-0.43,5.12,1036.32,24.3,-17.3,41.6,129.99,45.98,26.03,16.53,9.64,16.53,-7.1,320.99,237.57,320.99,238.82,0.3197,1022.9583,153.0,298.48
1933,365,9.81,-1.61,4.11,1171.06,24.26,-18.82,43.08,167.23,49.81,26.35,-3.53,-5.87,16.19,-5.87,399.22,224.26,266.07,224.26,0.3464,1084.6393,155.0,306.76
1934,365,9.48,-2.33,3.58,1019.28,24.86,-22.61,47.47,112.62,48.74,28.35,9.78,16.47,16.47,-11.16,267.28,227.32,227.32,263.65,0.2293,1202.6494,150.0,294.62
1935,365,9.81,-1.63,4.1,984.69,25.48,-18.88,44.36,161.31,31.51,24.77,-10.06,9.21,16.64,-10.06,287.62,216.42,230.62,287.62,0.4956,1152.7176,156.0,297.24
1936,366,9.96,-1.15,4.41,1148.35,22.75,-17.33,40.08,138.24,51.53,26.6,-0.35,15.12,15.12,-6.64,320.23,232.7,232.7,301.59,0.2728,1007.1612,154.0,318.48
1937,365,11.42,-0.1,5.67,965.16,26.64,-13.18,39.82,114.15,37.68,30.19,0.12,-6.12,17.97,-6.12,304.03,212.77,222.28,212.77,0.3195,1065.1653,148.0,370.86
1938,365,10.64,-0.77,4.94,1083.98,24.35,-16.72,41.07,132.0,51.84,30.78,16.66,-8.68,16.66,-8.68,362.16,203.48,362.16,203.48,0.262,1087.9564,154.0,346.42
1939,365,9.82,-1.52,4.16,959.59,25.88,-17.19,43.07,133.57,24.06,26.47,17.22,8.47,17.22,-9.5,259.61,216.26,259.61,242.93,0.3639,1115.1836,160.0,259.19
1940,366,9.71,-1.37,4.18,1065.9,24.65,-16.98,41.63,203.53,36.18,26.45,16.38,-7.88,16.38,-7.88,325.85,192.35,325.85,192.35,0.5402,1062.4813,152.0,287.87
1941,365,10.28,-0.96,4.67,996.25,24.79,-16.62,41.41,132.75,30.13,25.55,0.9,-7.56,15.62,-7.56,299.86,188.18,296.66,188.18,0.3829,989.9404,155.0,276.15
1942,365,10.75,-0.51,5.13,908.82,24.07,-17.0,41.07,124.0,42.04,29.41,-6.63,10.86,16.56,-6.63,282.8,194.72,200.9,282.8,0.3055,1089.5276,141.0,400.67
1943,365,9.68,-1.41,4.14,1136.63,24.6,-17.23,41.83,153.33,29.71,25.03,16.0,-8.0,16.0,-8.0,336.85,195.82,336.85,195.82,0.4,1065.8317,157.0,252.54
1944,366,11.18,-0.43,5.38,1023.74,26.52,-15.43,41.95,164.11,28.45,25.17,0.98,9.84,17.61,-6.99,391.1,198.55,231.3,202.8,0.4894,1061.8203,148.0,347.14
1945,365,10.85,-0.21,5.33,1146.53,25.29,-15.13,40.42,163.57,32.29,27.02,9.76,17.14,17.14,-5.97,367.09,196.87,196.87,275.51,0.3668,1015.9113,160.0,280.07
1946,365,11.26,-0.78,5.25,865.44,24.1,-16.38,40.48,116.41,37.97,27.17,9.33,16.61,16.61,-6.22,242.72,169.16,169.16,229.72,0.3547,1038.9237,153.0,321.39
1947,365,11.05,-0.26,5.4,969.76,25.66,-15.32,40.98,124.72,14.34,29.16,8.24,1.25,17.59,-5.69,313.79,163.39,221.58,271.0,0.3998,1036.6523,157.0,270.22
1948,366,10.29,-1.26,4.52,1001.38,24.94,-20.7,45.64,137.39,44.8,22.83,2.25,-9.81,16.85,-9.81,303.13,208.98,218.86,208.98,0.3163,1095.5544,155.0,253.41
1949,365,11.48,0.1,5.8,1074.13,25.92,-14.39,40.31,165.49,53.33,26.54,1.35,10.6,17.0,-5.95,300.75,230.96,288.86,253.55,0.407,1007.878,154.0,341.03
1950,365,10.55,-0.65,4.96,1190.07,23.43,-17.15,40.58,226.59,25.59,28.83,2.81,15.32,15.32,-8.11,452.75,227.63,227.63,259.35,0.5515,992.7034,151.0,307.22
1951,365,10.9,0.23,5.58,1265.55,24.43,-12.57,37.0,145.22,58.32,27.78,16.64,-4.99,16.64,-4.99,361.61,269.6,361.61,269.6,0.2908,966.254,149.0,296.3
1952,366,10.95,0.27,5.62,998.33,27.77,-15.14,42.91,145.7,45.75,28.57,-5.96,1.08,17.53,-5.96,333.0,188.97,203.24,333.0,0.4143,1005.6377,156.0,295.33
1953,365,11.63,1.03,6.34,1181.43,24.79,-11.01,35.8,141.89,49.94,28.83,-4.47,10.13,16.47,-4.47,364.85,216.51,284.52,364.85,0.2652,881.3863,159.0,291.52
1954,365,10.16,-0.07,5.05,1402.03,22.57,-16.44,39.01,160.93,69.37,27.97,2.02,-6.21,15.22,-6.21,397.94,325.66,335.29,325.66,0.2089,935.0874,157.0,285.26
1955,365,9.86,-0.5,4.69,931.91,26.04,-13.94,39.98,138.42,33.58,20.54,-6.82,-0.51,16.53,-6.82,348.66,136.21,247.01,348.66,0.4012,1049.1775,158.0,287.21
1956,366,9.82,-1.4,4.21,1084.93,22.36,-15.0,37.36,185.45,50.14,17.51,-6.25,14.44,14.44,-6.25,343.29,229.08,229.08,343.29,0.3645,923.5171,165.0,228.68
1957,365,10.63,-0.69,4.98,987.68,22.69,-21.12,43.81,160.32,47.25,29.4,2.87,9.4,15.5,-8.08,336.41,209.78,222.38,219.1,0.4035,1014.2974,152.0,306.32
1958,365,9.86,-0.42,4.73,1193.75,23.33,-17.14,40.47,166.2,59.39,19.5,-4.35,-1.74,15.85,-4.35,353.82,262.47,298.82,353.82,0.2878,979.8297,159.0,223.85
1959,365,10.43,-0.56,4.95,1178.57,26.45,-18.37,44.82,187.82,37.34,24.72,1.18,9.65,17.21,-8.5,442.86,222.51,260.59,252.62,0.4375,1075.9474,148.0,288.67
1960,366,11.18,-0.11,5.54,1097.38,25.91,-13.77,39.68,143.96,24.93,24.29,-5.64,16.55,16.55,-5.64,342.07,189.06,189.06,342.07,0.314,994.6689,146.0,392.36
1961,365,10.18,-0.58,4.81,1161.73,24.47,-19.13,43.6,158.61,69.23,25.8,8.87,17.04,17.04,-9.5,355.78,236.25,236.25,250.81,0.2479,1100.4761,157.0,282.5
1962,365,9.61,-1.29,4.17,1155.14,22.07,-19.53,41.6,148.55,48.11,30.05,14.59,-7.72,14.59,-7.72,379.67,182.17,379.67,182.17,0.3561,1015.2506,158.0,291.09
1963,365,9.85,-1.47,4.2,1310.47,24.74,-18.77,43.51,180.75,59.67,24.98,15.46,9.05,15.46,-8.22,416.11,241.51,416.11,293.36,0.3511,1099.5867,153.0,306.59
1964,366,9.93,-1.3,4.33,1028.84,23.44,-14.21,37.65,162.08,67.67,29.67,-0.03,9.11,14.89,-6.74,322.02,224.45,236.58,245.8,0.2943,961.0866,157.0,275.18
1965,365,9.55,-1.66,3.95,876.34,23.85,-16.6,40.45,137.01,32.06,26.55,-1.0,9.05,15.47,-7.92,307.03,159.32,219.14,190.84,0.395,1045.1758,159.0,287.56
1966,365,10.84,0.16,5.51,926.78,24.17,-13.99,38.16,110.54,25.68,20.2,2.08,9.15,15.62,-4.99,274.78,163.94,242.25,245.82,0.3069,911.5732,152.0,319.07
1967,365,9.54,-1.14,4.21,1190.28,25.13,-18.7,43.83,175.64,29.23,21.83,0.77,-9.17,17.26,-9.17,356.68,242.89,329.97,242.89,0.4354,1119.4032,162.0,253.09
1968,366,9.76,-0.94,4.42,964.29,25.62,-17.59,43.21,141.49,39.92,23.84,0.87,16.31,16.31,-8.83,380.54,145.04,145.04,248.48,0.435,1080.9773,158.0,242.51
1969,365,10.31,0.34,5.33,1141.97,23.39,-11.95,35.34,158.82,59.73,27.05,15.88,9.01,15.88,-5.38,348.8,225.79,348.8,228.91,0.3569,921.4115,158.0,306.28000000000003
1970,365,9.69,-0.79,4.46,1158.39,25.56,-17.82,43.38,158.53,16.19,22.01,-0.15,-8.03,16.57,-8.03,341.29,204.3,335.6,204.3,0.3976,1118.9494,154.0,293.84
