date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1871-05-24,1,11.1,3.9,7.5,0.0,0.0
1871-05-25,1,13.3,4.4,8.9,0.0,0.85
1871-05-26,1,15.6,9.4,12.5,2.5,4.5
1871-05-27,1,12.8,9.4,11.1,0.0,3.1
1871-05-28,1,10.0,4.4,7.2,0.0,0.0
1871-05-29,1,10.6,7.2,8.9,0.0,0.9
1871-05-30,1,20.0,10.0,15.0,2.5,7.0
1871-05-31,1,13.9,8.3,11.1,0.0,3.1
1871-06-01,1,15.6,6.1,10.9,0.0,2.85
1871-06-02,1,13.9,8.3,11.1,0.0,3.1
1871-06-03,1,18.3,9.4,13.9,0.0,5.85
1871-06-04,1,16.7,11.7,14.2,2.8,6.2
1871-06-05,1,18.3,8.3,13.3,0.0,5.3
1871-06-06,1,13.3,6.7,10.0,0.0,2.0
1871-06-07,1,10.0,9.4,9.7,2.8,1.7
1871-06-08,1,11.1,9.4,10.3,0.0,2.25
1871-06-09,1,19.4,10.0,14.7,0.0,6.7
1871-06-10,1,19.4,10.0,14.7,0.0,6.7
1871-06-11,1,11.7,9.4,10.6,0.0,2.55
1871-06-12,1,11.7,9.4,10.6,67.8,2.55
1871-06-13,1,12.8,8.3,10.6,0.8,2.55
1871-06-14,1,16.1,9.4,12.8,0.0,4.75
1871-06-15,1,16.1,9.4,12.8,0.0,4.75
1871-06-16,1,15.0,8.9,12.0,0.0,3.95
1871-06-17,1,18.3,10.0,14.2,0.0,6.15
1871-06-18,1,17.2,10.0,13.6,0.0,5.6
1871-06-19,1,18.9,9.4,14.2,0.0,6.15
1871-06-20,1,14.4,10.6,12.5,12.7,4.5
1871-06-21,1,19.4,11.7,15.6,0.0,7.55
1871-06-22,1,19.4,8.9,14.2,0.0,6.15
1871-06-23,1,13.9,10.6,12.3,8.9,4.25
1871-06-24,1,17.2,10.6,13.9,0.0,5.9
1871-06-25,1,16.7,9.4,13.1,0.0,5.05
1871-06-26,1,14.4,10.0,12.2,0.0,4.2
1871-06-27,1,20.0,9.4,14.7,0.0,6.7
1871-06-28,1,21.1,11.7,16.4,7.1,8.4
1871-06-29,1,16.1,11.1,13.6,0.0,5.6
1871-06-30,1,21.1,12.2,16.7,0.0,8.65
1871-07-01,1,19.4,11.1,15.3,0.0,7.25
1871-07-02,1,16.7,11.1,13.9,0.0,5.9
1871-07-03,1,20.6,11.1,15.9,0.0,7.85
1871-07-04,1,23.9,13.3,18.6,0.0,10.6
1871-07-05,1,20.0,12.2,16.1,6.1,8.1
1871-07-06,1,21.1,11.1,16.1,0.0,8.1
1871-07-07,1,16.7,11.7,14.2,0.0,6.2
1871-07-08,1,20.0,14.4,17.2,0.0,9.2
1871-07-09,1,21.1,14.4,17.8,0.0,9.75
1871-07-10,1,26.1,13.3,19.7,0.0,11.7
1871-07-11,1,21.1,13.3,17.2,0.0,9.2
1871-07-12,1,17.2,13.9,15.6,20.1,7.55
1871-07-13,1,26.1,15.0,20.6,0.0,12.55
1871-07-14,1,20.6,14.4,17.5,0.0,9.5
1871-07-15,1,19.4,13.9,16.7,0.5,8.65
1871-07-16,1,17.2,12.2,14.7,0.0,6.7
1871-07-17,1,18.9,12.8,15.9,0.0,7.85
1871-07-18,1,18.9,11.7,15.3,0.0,7.3
1871-07-19,1,17.8,12.8,15.3,0.0,7.3
1871-07-20,1,13.9,12.2,13.1,2.8,5.05
1871-07-21,1,18.3,11.1,14.7,0.0,6.7
1871-07-22,1,18.9,11.1,15.0,0.0,7.0
1871-07-23,1,18.9,10.6,14.8,0.0,6.75
1871-07-24,1,18.9,11.1,15.0,0.0,7.0
1871-07-25,1,22.2,13.9,18.1,38.1,10.05
1871-07-26,1,17.8,13.9,15.9,0.0,7.85
1871-07-27,1,15.6,12.8,14.2,0.0,6.2
1871-07-28,1,17.2,13.3,15.3,0.0,7.25
1871-07-29,1,21.1,13.9,17.5,0.0,9.5
1871-07-30,1,22.8,16.1,19.5,1.0,11.45
1871-07-31,1,23.9,15.0,19.5,28.4,11.45
1871-08-01,1,20.0,17.2,18.6,1.3,10.6
1871-08-02,1,17.8,12.2,15.0,0.0,7.0
1871-08-03,1,16.7,12.2,14.5,0.0,6.45
1871-08-04,1,16.7,12.2,14.5,0.0,6.45
1871-08-05,1,17.8,12.8,15.3,38.9,7.3
1871-08-06,1,20.6,14.4,17.5,0.0,9.5
1871-08-07,1,22.2,13.3,17.8,0.0,9.75
1871-08-08,1,21.1,13.9,17.5,10.9,9.5
1871-08-09,1,19.4,15.6,17.5,0.0,9.5
1871-08-10,1,19.4,12.2,15.8,0.0,7.8
1871-08-11,1,21.1,13.9,17.5,0.0,9.5
1871-08-12,1,18.9,13.3,16.1,0.0,8.1
1871-08-13,1,21.7,13.3,17.5,0.0,9.5
1871-08-14,1,21.1,13.9,17.5,0.0,9.5
1871-08-15,1,20.0,15.0,17.5,0.0,9.5
1871-08-16,1,15.0,13.9,14.5,2.0,6.45
1871-08-17,1,16.7,13.3,15.0,6.1,7.0
1871-08-18,1,18.9,11.7,15.3,0.0,7.3
1871-08-19,1,18.3,11.7,15.0,0.5,7.0
1871-08-20,1,21.1,10.6,15.9,0.0,7.85
1871-08-21,1,18.3,11.1,14.7,0.0,6.7
1871-08-22,1,21.1,9.4,15.3,0.0,7.25
1871-08-23,1,18.9,10.0,14.5,0.0,6.45
1871-08-24,1,13.9,12.8,13.4,2.0,5.35
1871-08-25,1,19.4,12.8,16.1,0.0,8.1
1871-08-26,1,18.3,11.1,14.7,0.0,6.7
1871-08-27,1,16.1,12.2,14.2,34.3,6.15
1871-08-28,1,19.4,13.3,16.4,0.0,8.35
1871-08-29,1,19.4,13.9,16.7,0.0,8.65
1871-08-30,1,17.2,15.0,16.1,24.4,8.1
1871-08-31,1,16.1,11.7,13.9,0.0,5.9
1871-09-01,1,20.0,11.1,15.6,0.0,7.55
1871-09-02,1,15.0,12.2,13.6,17.8,5.6
1871-09-03,1,25.0,15.0,20.0,0.0,12.0
1871-09-04,1,23.3,13.3,18.3,0.0,10.3
1871-09-05,1,21.7,15.0,18.4,1.3,10.35
1871-09-06,1,18.3,12.8,15.6,0.0,7.55
1871-09-07,1,13.3,10.0,11.7,8.9,3.65
1871-09-08,1,17.2,6.7,12.0,0.0,3.95
1871-09-09,1,15.6,8.3,12.0,0.0,3.95
