year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
1910,365,8.49,-1.24,3.63,874.29,23.75,-18.45,42.2,96.22,48.07,22.65,15.42,-8.07,15.42,-8.07,236.65,202.21,236.65,202.21,0.2111,1083.06,161.0,261.65
1911,365,8.62,-2.43,3.1,765.44,24.97,-21.62,46.59,94.4,23.33,30.61,15.95,-12.4,15.95,-12.4,233.69,165.7,233.69,165.7,0.3033,1231.6686,141.0,409.21
1912,366,7.18,-3.39,1.9,966.99,23.54,-24.96,48.5,138.5,44.7,24.74,14.43,-13.61,14.43,-13.61,281.79,164.27,281.79,164.27,0.3401,1199.6414,156.0,224.95
1913,365,9.24,-1.78,3.74,896.68,23.05,-22.48,45.53,115.62,44.78,24.64,15.11,8.79,15.11,-10.34,259.55,176.76,259.55,231.91,0.305,1094.6206,154.0,267.27
1914,365,8.13,-3.48,2.33,755.02,24.24,-24.48,48.72,84.19,45.36,24.4,-2.53,8.23,15.48,-12.12,217.46,168.96,195.6,173.0,0.2015,1242.4766,148.0,283.76
1915,365,9.51,-1.09,4.22,792.97,23.55,-16.39,39.94,98.35,27.25,27.39,15.63,-8.5,15.63,-8.5,241.59,171.44,241.59,171.44,0.268,1037.4604,157.0,266.86
1916,366,8.42,-2.47,2.98,916.07,25.9,-20.3,46.2,108.02,42.81,27.32,16.71,-12.19,16.71,-12.19,244.34,202.25,244.34,202.25,0.2788,1224.5967,158.0,272.38
1917,365,6.96,-3.71,1.63,962.05,23.95,-22.65,46.6,137.51,35.59,25.67,7.47,-12.45,15.98,-12.45,263.32,212.02,251.16,212.02,0.4301,1278.4246,166.0,208.23
1918,365,7.96,-2.89,2.54,998.7,23.5,-21.52,45.02,156.22,37.14,23.32,14.78,-12.64,14.78,-12.64,349.3,180.91,349.3,180.91,0.4263,1178.4752,150.0,249.19
1919,365,8.64,-2.09,3.28,892.8,24.17,-18.4,42.57,98.05,40.21,24.5,15.38,-8.59,15.38,-8.59,264.61,192.3,264.61,192.3,0.2504,1141.1955,153.0,361.52
1920,366,8.73,-2.21,3.26,923.89,24.58,-24.79,49.37,123.77,33.64,25.89,16.09,-11.57,16.09,-11.57,287.79,191.28,287.79,191.28,0.3337,1230.9941,150.0,336.01
1921,365,9.69,-1.73,3.99,795.45,27.67,-18.52,46.19,110.76,27.95,23.25,16.88,10.48,16.88,-8.86,259.58,128.45,259.58,168.41,0.3843,1181.7642,146.0,374.36
1922,365,9.0,-2.63,3.19,815.96,24.26,-20.67,44.93,150.2,44.65,27.71,10.12,-10.49,15.71,-10.49,283.25,154.27,188.56,154.27,0.4412,1199.4352,149.0,333.99
1923,365,8.24,-3.69,2.28,900.41,22.71,-23.47,46.18,116.19,41.75,27.46,0.85,-14.36,14.47,-14.36,260.05,185.64,229.77,185.64,0.2611,1197.6691,159.0,257.53
1924,366,8.16,-3.02,2.58,963.63,23.44,-21.71,45.15,154.04,32.34,29.41,15.28,-2.02,15.28,-10.92,344.7,175.5,344.7,184.73,0.4143,1193.291,166.0,213.13
